t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
10.753769,zeta0p1,0.4910572,0.403206,-0.085718386,-0.13721149
10.954774,zeta0p1,0.36690864,0.40372968,-0.20168063,-0.13096707
11.155779,zeta0p1,0.4080116,0.39974654,-0.04374212,-0.119155616
11.356784,zeta0p1,0.43946505,0.3948594,-0.206234,-0.1134401
11.557789,zeta0p1,0.31213456,0.38187277,-0.0016934114,-0.09729261
11.758794,zeta0p1,0.4918172,0.37213305,-0.20246822,-0.092301406
11.959799,zeta0p1,0.20771633,0.35089898,0.038765237,-0.072569646
12.160804,zeta0p1,0.52269536,0.33690777,-0.19085974,-0.06844702
12.361809,zeta0p1,0.09921421,0.3084111,0.076099694,-0.045994926
12.562814,zeta0p1,0.53172684,0.2908016,-0.17217559,-0.04283722
12.763819,zeta0p1,-0.008928409,0.25624895,0.10895976,-0.018606562
12.964824,zeta0p1,0.519416,0.23568581,-0.14743233,-0.016467238
13.165829,zeta0p1,-0.11245761,0.19647244,0.13622423,0.008559177
13.366835,zeta0p1,0.48708957,0.17365575,-0.11784479,0.009662845
13.56784,zeta0p1,-0.20746866,0.13432221,0.15703805,0.030750237
13.768845,zeta0p1,0.4368122,0.113514796,-0.084772415,0.027960774
13.96985,zeta0p1,-0.29054764,0.07295938,0.17083341,0.048812464
14.170855,zeta0p1,0.37127566,0.05150541,-0.04965693,0.045957595
14.37186,zeta0p1,-0.35888538,0.010835409,0.17734277,0.06576487
14.572865,zeta0p1,0.29366785,-0.010921251,-0.0139657715,0.062923014
14.7738695,zeta0p1,-0.41036567,-0.05330157,0.1765962,0.08405866
14.9748745,zeta0p1,0.20752741,-0.07808691,0.020870546,0.08365372
15.1758795,zeta0p1,-0.44362098,-0.11806074,0.16890906,0.10097755
15.376884,zeta0p1,0.11659044,-0.14171702,0.053510334,0.099462606
15.577889,zeta0p1,-0.4580568,-0.17759436,0.15485832,0.11234186
15.778894,zeta0p1,0.024634922,-0.1990113,0.08275219,0.10975476
